country,year,oil_production_kbbl_day
Albania,2012,16.83606557
Algeria,2012,1532.243169
Angola,2012,1787.04918
Argentina,2012,551.1197896
Australia,2012,405.3797814
Austria,2012,16.91530055
Azerbaijan,2012,921.7486339
Bahrain,2012,171.9315301
Bangladesh,2012,4.666666667
Belarus,2012,30.0
Belize,2012,2.814051913
Bolivia,2012,41.56718579
Brazil,2012,2061.225495
Brunei,2012,145.6584699
Cambodia,2012,0.0
Cameroon,2012,63.0
Canada,2012,3137.838798
Chad,2012,104.4836066
Chile,2012,6.081967213
China,2012,4074.074317
Colombia,2012,944.3176011
Croatia,2012,11.83333333
Cuba,2012,52.0
Cyprus,2012,0.0
Czechia,2012,3.0
Dem Rep of the Congo,2012,20.0
Denmark,2012,202.2461831
Ecuador,2012,503.5920792
Egypt,2012,641.6229508
Equatorial Guinea,2012,289.4
Ethiopia,2012,0.0
France,2012,16.25136612
Gabon,2012,230.0
Georgia,2012,1.0
Germany,2012,51.0
Ghana,2012,78.35519126
Greece,2012,1.669398907
Guatemala,2012,10.59086885
Guyana,2012,0.0
Hungary,2012,12.91256831
India,2012,779.1546066
Indonesia,2012,859.7421749
Iran,2012,3386.849727
Iraq,2012,2983.333333
Israel,2012,0.39
Italy,2012,100.9672131
Ivory Coast,2012,37.91530055
Japan,2012,5.0
Jordan,2012,0.022
Kazakhstan,2012,1514.47541
Kuwait,2012,2634.945355
Libya,2012,1431.803279
Malaysia,2012,585.5601093
Mauritania,2012,6.577076503
Mexico,2012,2592.505464
Mongolia,2012,9.934508197
Mozambique,2012,0.0
Myanmar,2012,20.0
Netherlands,2012,20.83333333
New Zealand,2012,41.07923497
Niger,2012,20.0
Nigeria,2012,2457.10929
Norway,2012,1611.568306
Oman,2012,918.5683087
Pakistan,2012,71.0
Papua New Guinea,2012,27.33060109
Peru,2012,66.65480055
Philippines,2012,30.0
Poland,2012,13.40163934
Qatar,2012,1485.092355
"Congo, Rep.",2012,259.5953497
Romania,2012,84.35021585
Russia,2012,9921.60929
Saudi Arabia,2012,9996.579962
Senegal,2012,0.0
Serbia,2012,14.99726776
South Africa,2012,3.912568306
Spain,2012,3.00273224
Sudan,2012,92.03648087
Suriname,2012,15.83333333
Sweden,2012,0.0
Syria,2012,145.2295082
Thailand,2012,238.5790628
Timor-Leste,2012,108.0
Trinidad and Tobago,2012,69.0621694
Tunisia,2012,63.29428689
Turkiye,2012,44.7568306
Turkmenistan,2012,223.8779527
Ukraine,2012,45.62865301
United Arab Emirates,2012,2993.606557
United Kingdom,2012,888.0918115
United States,2012,6520.587402
Uzbekistan,2012,66.26229508
Venezuela,2012,2500.0
Vietnam,2012,331.0464481
Yemen,2012,168.726776
Albania,2013,17.00821918
Algeria,2013,1461.780822
Angola,2013,1802.657534
Argentina,2013,539.9405096
Australia,2013,334.5808219
Austria,2013,16.15890411
Azerbaijan,2013,870.5945205
Bahrain,2013,198.1972603
Bangladesh,2013,4.0
Belarus,2013,30.0
Belize,2013,2.170838356
Bolivia,2013,47.49224658
Brazil,2013,2023.875466
Brunei,2013,122.1424658
Cambodia,2013,0.0
Cameroon,2013,62.75616438
Canada,2013,3325.128767
Chad,2013,100.0
Chile,2013,6.665753425
China,2013,4163.816712
Colombia,2013,1005.791836
Croatia,2013,11.99726027
Cuba,2013,51.0
Cyprus,2013,0.0
Czechia,2013,3.0
Dem Rep of the Congo,2013,20.0
Denmark,2013,175.4011671
Ecuador,2013,526.1124082
Egypt,2013,644.9205479
Equatorial Guinea,2013,269.7972603
Ethiopia,2013,0.0
France,2013,16.00273973
Gabon,2013,220.0
Georgia,2013,1.0
Germany,2013,51.56438356
Ghana,2013,97.91232877
Greece,2013,1.246575342
Guatemala,2013,9.986594521
Guyana,2013,0.0
Hungary,2013,12.0
India,2013,772.0756
Indonesia,2013,828.2383562
Iran,2013,3113.29863
Iraq,2013,3055.383562
Israel,2013,0.39
Italy,2013,101.7753425
Ivory Coast,2013,37.0
Japan,2013,4.665753425
Jordan,2013,0.022
Kazakhstan,2013,1572.89863
Kuwait,2013,2700.0
Libya,2013,978.3287671
Malaysia,2013,575.7945205
Mauritania,2013,6.750410959
Mexico,2013,2561.857534
Mongolia,2013,14.05149589
Mozambique,2013,0.0
Myanmar,2013,20.0
Netherlands,2013,21.98630137
New Zealand,2013,35.26575342
Niger,2013,20.0
Nigeria,2013,2307.317808
Norway,2013,1532.671233
Oman,2013,939.9223781
Pakistan,2013,81.0
Papua New Guinea,2013,30.43561644
Peru,2013,62.89339726
Philippines,2013,35.0
Poland,2013,19.22465753
Qatar,2013,1458.712329
"Congo, Rep.",2013,239.301526
Romania,2013,84.99241918
Russia,2013,10053.84384
Saudi Arabia,2013,9872.870454
Senegal,2013,0.0
Serbia,2013,16.49589041
South Africa,2013,3.580821918
Spain,2013,7.336986301
Sudan,2013,133.8053397
Suriname,2013,15.0
Sweden,2013,0.0
Syria,2013,58.04383562
Thailand,2013,240.7643836
Timor-Leste,2013,70.0
Trinidad and Tobago,2013,67.78039452
Tunisia,2013,60.14794521
Turkiye,2013,46.24383562
Turkmenistan,2013,233.0
Ukraine,2013,43.21175068
United Arab Emirates,2013,2938.0
United Kingdom,2013,801.2909616
United States,2013,7494.117715
Uzbekistan,2013,70.0
Venezuela,2013,2500.0
Vietnam,2013,332.0767123
Yemen,2013,130.6986301
Albania,2014,20.50684932
Algeria,2014,1420.0
Angola,2014,1741.616438
Argentina,2014,532.1596795
Australia,2014,353.3561644
Austria,2014,17.16986301
Azerbaijan,2014,846.7589041
Bahrain,2014,202.3342466
Bangladesh,2014,4.0
Belarus,2014,30.0
Belize,2014,1.760041096
Bolivia,2014,51.09890411
Brazil,2014,2254.600307
Brunei,2014,114.4493151
Cambodia,2014,0.0
Cameroon,2014,75.0
Canada,2014,3613.224658
Chad,2014,121.0
Chile,2014,6.580821918
China,2014,4208.254795
Colombia,2014,988.0082192
Croatia,2014,11.49863014
Cuba,2014,51.0
Cyprus,2014,0.0
Czechia,2014,3.0
Dem Rep of the Congo,2014,20.0
Denmark,2014,165.2497123
Ecuador,2014,556.3580575
Egypt,2014,645.1123288
Equatorial Guinea,2014,260.0
Ethiopia,2014,0.0
France,2014,15.3369863
Gabon,2014,220.0
Georgia,2014,1.0
Germany,2014,48.08767123
Ghana,2014,105.0191781
Greece,2014,1.161643836
Guatemala,2014,10.05178356
Guyana,2014,0.0
Hungary,2014,11.49589041
India,2014,767.4982603
Indonesia,2014,789.0
Iran,2014,3239.068493
Iraq,2014,3370.041096
Israel,2014,0.39
Italy,2014,106.2876712
Ivory Coast,2014,36.0
Japan,2014,4.750684932
Jordan,2014,0.022
Kazakhstan,2014,1632.076712
Kuwait,2014,2692.054795
Libya,2014,529.8356164
Malaysia,2014,602.9753425
Mauritania,2014,6.003005479
Mexico,2014,2468.547945
Mongolia,2014,20.28802466
Mozambique,2014,0.0
Myanmar,2014,19.57534247
Netherlands,2014,29.46849315
New Zealand,2014,39.26575342
Niger,2014,20.0
Nigeria,2014,2347.178082
Norway,2014,1562.183562
Oman,2014,943.4796411
Pakistan,2014,94.0
Papua New Guinea,2014,49.35342466
Peru,2014,69.30365479
Philippines,2014,38.0
Poland,2014,19.25753425
Qatar,2014,1424.041096
"Congo, Rep.",2014,233.2824849
Romania,2014,83.3473863
Russia,2014,10107.08767
Saudi Arabia,2014,9905.32092
Senegal,2014,0.0
Serbia,2014,16.83835616
South Africa,2014,3.0
Spain,2014,6.249315068
Sudan,2014,113.7028384
Suriname,2014,15.0
Sweden,2014,0.0
Syria,2014,22.66027397
Thailand,2014,232.9753425
Timor-Leste,2014,45.0
Trinidad and Tobago,2014,67.71774247
Tunisia,2014,49.59726027
Turkiye,2014,47.67123288
Turkmenistan,2014,239.2109589
Ukraine,2014,40.49285753
United Arab Emirates,2014,3010.191781
United Kingdom,2014,787.2186
United States,2014,8789.391773
Uzbekistan,2014,64.38082192
Venezuela,2014,2500.0
Vietnam,2014,306.8273973
Yemen,2014,125.0082192
Albania,2015,23.0
Algeria,2015,1429.0
Angola,2015,1801.86301369863
Argentina,2015,532.239517808219
Australia,2015,322.250665753424
Austria,2015,16.4958904109589
Azerbaijan,2015,848.473972602739
Bahrain,2015,202.188778082191
Bangladesh,2015,4.0
Belarus,2015,26.0849315068493
Belize,2015,1.70849315068493
Bolivia,2015,49.0610794520547
Brazil,2015,2437.44490136986
Brunei,2015,115.3702
Cambodia,2015,0.0
Cameroon,2015,98.0
Canada,2015,3677.12602739726
Chad,2015,123.0
Chile,2015,6.26027397260273
China,2015,4277.69315068493
Colombia,2015,1003.01643835616
Croatia,2015,12.4191780821917
Cuba,2015,49.0
Cyprus,2015,0.0
Czechia,2015,2.83561643835616
Dem Rep of the Congo,2015,20.0
Denmark,2015,156.316575342465
Ecuador,2015,543.09484109589
Egypt,2015,682.356164383561
Equatorial Guinea,2015,250.0
Ethiopia,2015,0.0
France,2015,16.6712328767123
Gabon,2015,213.328767123287
Georgia,2015,0.79945205479452
Germany,2015,48.0630136986301
Ghana,2015,102.356164383561
Greece,2015,1.07671232876712
Guatemala,2015,9.86493698630137
Guyana,2015,0.0
Hungary,2015,12.0
India,2015,763.779490410958
Indonesia,2015,785.761643835616
Iran,2015,3293.18904109589
Iraq,2015,4054.7808219178
Israel,2015,0.39
Italy,2015,100.210958904109
Ivory Coast,2015,29.586301369863
Japan,2015,4.24657534246575
Jordan,2015,0.022
Kazakhstan,2015,1653.05479452054
Kuwait,2015,2858.67123287671
Libya,2015,463.972602739726
Malaysia,2015,654.219452054794
Mauritania,2015,5.24657534246575
Mexico,2015,2302.49315068493
Mongolia,2015,23.1765589041095
Mozambique,2015,0.0
Myanmar,2015,11.0
Netherlands,2015,27.304109589041
New Zealand,2015,41.027701369863
Niger,2015,14.0
Nigeria,2015,2171.16164383561
Norway,2015,1610.27123287671
Oman,2015,981.153739726027
Pakistan,2015,90.2136986301369
Papua New Guinea,2015,57.5013698630137
Peru,2015,58.0077972602739
Philippines,2015,24.1232876712328
Poland,2015,18.6355780821917
Qatar,2015,1356.42465753424
"Congo, Rep.",2015,238.4784
Romania,2015,82.6547945205479
Russia,2015,10252.8547945205
Saudi Arabia,2015,10335.6177624424
Senegal,2015,0.0
Serbia,2015,20.3287671232876
South Africa,2015,3.0
Spain,2015,4.65205479452054
Sudan,2015,261.008136986301
Suriname,2015,16.0
Sweden,2015,0.0
Syria,2015,18.5537589041095
Thailand,2015,248.169863013698
Timor-Leste,2015,45.0
Trinidad and Tobago,2015,78.629701369863
Tunisia,2015,36.0
Turkiye,2015,48.5095890410958
Turkmenistan,2015,243.068493150684
Ukraine,2015,35.9119123287671
United Arab Emirates,2015,3149.45205479452
United Kingdom,2015,893.260145205479
United States,2015,9446.4932219178
Uzbekistan,2015,52.0
Venezuela,2015,2489.47397260273
Vietnam,2015,333.44109589041
Yemen,2015,31.7623479452054
Albania,2016,19.0
Algeria,2016,1348.3606557377
Angola,2016,1769.61475409836
Argentina,2016,510.50543989071
Australia,2016,289.702054644808
Austria,2016,15.1612021857923
Azerbaijan,2016,833.53825136612
Bahrain,2016,201.576073770491
Bangladesh,2016,4.0
Belarus,2016,32.6666666666666
Belize,2016,1.7
Bolivia,2016,45.2798278688524
Brazil,2016,2509.97577595628
Brunei,2016,109.040680327868
Cambodia,2016,0.0
Cameroon,2016,92.0
Canada,2016,3679.04644808743
Chad,2016,114.0
Chile,2016,4.42349726775956
China,2016,3983.48087431694
Colombia,2016,885.966453551912
Croatia,2016,13.5819672131147
Cuba,2016,46.0
Cyprus,2016,0.0
Czechia,2016,2.33333333333333
Dem Rep of the Congo,2016,20.0
Denmark,2016,140.636612021857
Ecuador,2016,547.926229508196
Egypt,2016,651.382513661202
Equatorial Guinea,2016,227.0
Ethiopia,2016,0.0
France,2016,16.4180327868852
Gabon,2016,210.819672131147
Georgia,2016,0.4
Germany,2016,46.587431693989
Ghana,2016,98.3606557377049
Greece,2016,3.17213114754098
Guatemala,2016,9.77648633879781
Guyana,2016,0.0
Hungary,2016,13.8333333333333
India,2016,737.227912568306
Indonesia,2016,831.620218579235
Iran,2016,4151.16666666666
Iraq,2016,4451.51639344262
Israel,2016,0.39
Italy,2016,70.6748633879781
Ivory Coast,2016,40.5245901639344
Japan,2016,3.91803278688524
Jordan,2016,0.022
Kazakhstan,2016,1595.19945355191
Kuwait,2016,2961.31147540983
Libya,2016,444.685792349726
Malaysia,2016,666.844535519125
Mauritania,2016,4.83606557377049
Mexico,2016,2186.87431693989
Mongolia,2016,23.4262295081967
Mozambique,2016,0.0
Myanmar,2016,11.0
Netherlands,2016,18.087431693989
New Zealand,2016,34.6331530054644
Niger,2016,13.0
Nigeria,2016,1871.20491803278
Norway,2016,1647.97540983606
Oman,2016,1004.2148852459
Pakistan,2016,85.5027322404371
Papua New Guinea,2016,55.9918032786885
Peru,2016,40.3635300546448
Philippines,2016,20.0
Poland,2016,20.0409726775956
Qatar,2016,1354.94535519125
"Congo, Rep.",2016,197.996325136612
Romania,2016,77.9098360655737
Russia,2016,10551.4972677595
Saudi Arabia,2016,10634.7103825136
Senegal,2016,0.0
Serbia,2016,20.0
South Africa,2016,2.0
Spain,2016,2.66666666666666
Sudan,2016,257.330601092895
Suriname,2016,16.0
Sweden,2016,0.0
Syria,2016,17.2014972677595
Thailand,2016,257.524590163934
Timor-Leste,2016,30.0
Trinidad and Tobago,2016,71.4848306010929
Tunisia,2016,38.0
Turkiye,2016,49.4972677595628
Turkmenistan,2016,230.77868852459
Ukraine,2016,32.0710382513661
United Arab Emirates,2016,3242.65027322404
United Kingdom,2016,933.022543715847
United States,2016,8851.51905191256
Uzbekistan,2016,48.0
Venezuela,2016,2254.45355191256
Vietnam,2016,301.849726775956
Yemen,2016,18.2704918032786
Albania,2017,17.0
Algeria,2017,1301.75342465753
Angola,2017,1663.22653062468
Argentina,2017,479.630589269071
Australia,2017,263.232046110252
Austria,2017,14.1834493150684
Azerbaijan,2017,789.21253843309
Bahrain,2017,199.979493150684
Bangladesh,2017,3.0
Belarus,2017,31.9610246575342
Belize,2017,0.989662410928767
Bolivia,2017,43.0747812328356
Brazil,2017,2621.71964729797
Brunei,2017,100.643835616438
Cambodia,2017,0.0
Cameroon,2017,75.9594520546164
Canada,2017,3990.10958904109
Chad,2017,127.919117
Chile,2017,3.34017808219178
China,2017,3771.90683395196
Colombia,2017,854.039954983638
Croatia,2017,13.8809369863013
Cuba,2017,44.0
Cyprus,2017,0.0
Czechia,2017,2.16984931506849
Dem Rep of the Congo,2017,19.0
Denmark,2017,137.093954819254
Ecuador,2017,531.323287671232
Egypt,2017,626.86301369863
Equatorial Guinea,2017,184.328767123287
Ethiopia,2017,0.0
France,2017,15.1999698630136
Gabon,2017,198.849315068493
Georgia,2017,0.417073972602739
Germany,2017,43.4574958904109
Ghana,2017,150.74602739726
Greece,2017,2.81371506849315
Guatemala,2017,9.63410569846575
Guyana,2017,0.0
Hungary,2017,14.1589424657534
India,2017,733.909137314945
Indonesia,2017,801.767139726027
Iran,2017,4452.56164383561
Iraq,2017,4465.68493150684
Israel,2017,1.0
Italy,2017,77.5069589041096
Ivory Coast,2017,38.023576
Japan,2017,3.66325205479452
Jordan,2017,0.02
Kazakhstan,2017,1776.81203600895
Kuwait,2017,2825.87671232876
Libya,2017,878.890410958904
Malaysia,2017,659.919592648493
Mauritania,2017,0.0
Mexico,2017,1980.68219178082
Mongolia,2017,20.0
Mozambique,2017,0.0
Myanmar,2017,11.0
Netherlands,2017,13.9407186526767
New Zealand,2017,13.4057917808219
Niger,2017,16.0
Nigeria,2017,1945.89991780821
Norway,2017,1617.52950684932
Oman,2017,970.039726027424
Pakistan,2017,89.6356164383561
Papua New Guinea,2017,50.4195945205479
Peru,2017,43.5629534246575
Philippines,2017,3.0
Poland,2017,19.9972328767123
Qatar,2017,1308.67123287671
"Congo, Rep.",2017,244.846390071747
Romania,2017,72.2124465753424
Russia,2017,10605.0493155024
Saudi Arabia,2017,10305.4246575342
Senegal,2017,0.0
Serbia,2017,18.0
South Africa,2017,1.85443561643835
Spain,2017,2.40264931506849
Sudan,2017,252.472611839868
Suriname,2017,16.0
Sweden,2017,0.0
Syria,2017,18.0
Thailand,2017,239.668493150684
Timor-Leste,2017,21.0
Trinidad and Tobago,2017,71.8238931506849
Tunisia,2017,36.7002054794986
Turkiye,2017,49.170002739726
Turkmenistan,2017,241.296806667
Ukraine,2017,30.429005479452
United Arab Emirates,2017,3174.17808219178
United Kingdom,2017,913.378902844802
United States,2017,9371.35610410958
Uzbekistan,2017,46.026808219178
Venezuela,2017,1997.40547945205
Vietnam,2017,272.299081262723
Yemen,2017,32.0
Albania,2018,16.0
Algeria,2018,1258.65753424657
Angola,2018,1584.99844136141
Argentina,2018,489.513425947471
Australia,2018,283.630822274021
Austria,2018,13.2685890410958
Azerbaijan,2018,789.353456158616
Bahrain,2018,197.011336986301
Bangladesh,2018,3.0
Belarus,2018,33.6609123287671
Belize,2018,0.825957397227397
Bolivia,2018,40.1561059726383
Brazil,2018,2586.6036569737
Brunei,2018,99.5369863013698
Cambodia,2018,0.0
Cameroon,2018,68.8547945203972
Canada,2018,4343.36164383561
Chad,2018,131.515239534213
Chile,2018,3.11056986301369
China,2018,3740.26212203522
Colombia,2018,865.472364271074
Croatia,2018,13.8605808219178
Cuba,2018,43.0
Cyprus,2018,0.0
Czechia,2018,2.20544931506849
Dem Rep of the Congo,2018,25.0
Denmark,2018,115.260728829912
Ecuador,2018,517.205266230186
Egypt,2018,638.849315068493
Equatorial Guinea,2018,172.232876712328
Ethiopia,2018,0.0
France,2018,15.5617232876712
Gabon,2018,195.835616438356
Georgia,2018,0.377249315068493
Germany,2018,40.6553506849315
Ghana,2018,172.639178082191
Greece,2018,4.08229863013698
Guatemala,2018,9.24829120632602
Guyana,2018,0.0
Hungary,2018,15.9426246575342
India,2018,709.345511013715
Indonesia,2018,769.906849315068
Iran,2018,4212.41643835616
Iraq,2018,4622.69589041095
Israel,2018,1.0
Italy,2018,89.496005479452
Ivory Coast,2018,36.97436
Japan,2018,3.37008493150684
Jordan,2018,0.02
Kazakhstan,2018,1863.02502684936
Kuwait,2018,2862.04109589041
Libya,2018,1026.95890410958
Malaysia,2018,653.349809681186
Mauritania,2018,0.0
Mexico,2018,1846.89466301369
Mongolia,2018,19.4088602739726
Mozambique,2018,0.0
Myanmar,2018,9.0
Netherlands,2018,13.5224970930191
New Zealand,2018,11.0436575342465
Niger,2018,15.0
Nigeria,2018,1909.63522800632
Norway,2018,1516.80334246586
Oman,2018,978.387671232967
Pakistan,2018,89.572602739726
Papua New Guinea,2018,35.6132767123287
Peru,2018,48.6960931506849
Philippines,2018,2.0
Poland,2018,20.3070410958904
Qatar,2018,1308.32876712328
"Congo, Rep.",2018,340.489412319191
Romania,2018,71.1022438356164
Russia,2018,10758.554834889
Saudi Arabia,2018,10598.1369863013
Senegal,2018,0.0
Serbia,2018,17.0
South Africa,2018,1.51641643835616
Spain,2018,1.80010410958904
Sudan,2018,223.0967520681778
Suriname,2018,16.0
Sweden,2018,0.0
Syria,2018,24.4054794520547
Thailand,2018,228.101369863013
Timor-Leste,2018,15.0
Trinidad and Tobago,2018,63.4946229465342
Tunisia,2018,35.6780219178493
Turkiye,2018,54.9096794520547
Turkmenistan,2018,238.42373621
Ukraine,2018,32.5894383561643
United Arab Emirates,2018,3216.47945205479
United Kingdom,2018,1002.88072767934
United States,2018,10964.0878684931
Uzbekistan,2018,42.9154493150684
Venezuela,2018,1485.62191780821
Vietnam,2018,240.750832742309
Yemen,2018,47.0
Albania,2019,18.0
Algeria,2019,1258.95890410958
Angola,2019,1434.82737406006
Argentina,2019,507.400176254263
Australia,2019,360.697372493736
Austria,2019,12.5389150684931
Azerbaijan,2019,767.475099994232
Bahrain,2019,197.118950684931
Bangladesh,2019,3.0
Belarus,2019,34.0439315068493
Belize,2019,0.970350598767123
Bolivia,2019,35.5450472876109
Brazil,2019,2787.75740469107
Brunei,2019,109.64109589041
Cambodia,2019,0.0
Cameroon,2019,69.2141114300328
Canada,2019,4407.75616438356
Chad,2019,128.0
Chile,2019,3.23569863013698
China,2019,3787.14472298507
Colombia,2019,885.829289115079
Croatia,2019,13.453909589041
Cuba,2019,38.0
Cyprus,2019,0.0
Czechia,2019,1.62536712328767
Dem Rep of the Congo,2019,24.0
Denmark,2019,102.067029267131
Ecuador,2019,531.006689367134
Egypt,2019,622.641095890411
Equatorial Guinea,2019,155.767123287671
Ethiopia,2019,0.0
France,2019,14.5578657534246
